District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Odyssey Community School District,2630013,216,216,14497,0.227,0.19,0.27,0.23,0,2021-22,Hartford,Suburban
Old Saybrook School District,1060011,456,455,26378,0,0.14,0.784,0.036,0.034,2021-22,Middlesex,Suburban
Orange School District,1070011,711,709,18838,0.023,0.073,0.721,0.131,0.052,2021-22,New Haven,Urban
Oxford School District,1080011,744,741,20026,0.024,0.104,0.828,0.026,0.014,2021-22,New Haven,Urban
Park City Prep Charter School District,2830013,373,365,16151,0.501,0.413,0.055,0,0,2021-22,Bridgeport ,Suburban
Plainfield School District,1090011,851,849,19064,0.032,0.103,0.815,0.015,0.022,2021-22,Windham,Suburban
Plainville School District,1100011,1030,1028,20255,0.055,0.236,0.629,0.029,0.048,2021-22,Hartford,Urban
Plymouth School District,1110011,578,576,20079,0,0.145,0.766,0.021,0.051,2021-22,Litchfield,Suburban
Pomfret School District,1120011,245,245,20554,0,0.03,0.935,0,0,2021-22,Windham,Suburban
Portland School District,1130011,620,618,20901,0.039,0.181,0.719,0.014,0.048,2021-22,Middlesex,Suburban
Preston School District,1140011,264,265,22303,0,0.075,0.825,0.023,0.048,2021-22,New London,Suburban
Putnam School District,1160011,506,505,19433,0.017,0.152,0.814,0.008,0.007,2021-22,Windham,Suburban
Plainfield School District,1170011,528,527,29232,0.016,0.126,0.796,0.024,0.035,2021-22,Windham,Suburban
Regional School District 01,2010012,0,0,36960,0,0.11,0.804,0.018,0.055,2021-22,Litchfield,Suburban
Regional School District 04,2040012,227,229,27347,0,0.084,0.851,0.015,0.04,2021-22,Middlesex,Suburban
Regional School District 05,2050012,705,700,22558,0,0.086,0.686,0.15,0.038,2021-22,New Haven,Suburban
Regional School District 06,2060012,303,301,23898,0.013,0.054,0.896,0,0.033,2021-22,Litchfield,Suburban
Regional School District 07,2070012,255,256,25464,0.008,0.042,0.92,0,0.022,2021-22,Litchfield,Suburban
Regional School District 08,2080012,366,366,22687,0.01,0.08,0.87,0.012,0.027,2021-22,Tolland,Urban
Regional School District 10,2100012,962,961,19343,0.004,0.073,0.675,0.007,0.241,2021-22,Hartford,Urban
Regional School District 11,2110012,98,97,27425,0,0.076,0.876,0,0,2021-22,Litchfield,Suburban
Regional School District 12,2120012,282,281,29022,0.007,0.098,0.846,0.009,0.037,2021-22,Litchfield,Suburban
Regional School District 13,2130012,623,618,27232,0,0.082,0.87,0.012,0.029,2021-22,Middlesex,Suburban
Regional School District 14,2140012,595,593,22796,0.014,0.106,0.835,0.012,0.028,2021-22,Litchfield,Suburban
Regional School District 15,2150012,1596,1592,23154,0.024,0.082,0.813,0.048,0.032,2021-22,New Haven,Suburban
Regional School District 16,2160012,874,873,20158,0.039,0.092,0.827,0,0.027,2021-22,New Haven,Suburban
Regional School District 17,2170012,798,796,24145,0,0.047,0.897,0.017,0.029,2021-22,Middlesex,Suburban
Regional School District 18,2180012,527,527,24303,0.005,0.065,0.862,0.027,0.04,2021-22,Middlesex,Suburban
Ridgefield School District,1180011,2018,2003,21115,0.007,0.09,0.79,0.065,0.046,2021-22,Fairfield,Suburban
Rocky Hill School District,1190011,1164,1162,19869,0.038,0.118,0.515,0.29,0.038,2021-22,Hartford,Urban
Salem School District,1210011,263,263,20212,0,0.085,0.823,0,0.062,2021-22,New London,Suburban
Salisbury School District,1220011,185,185,28116,0.037,0.105,0.787,0,0.054,2021-22,Litchfield,Suburban
Scotland School District,1230011,43,43,26551,0,0,0.887,0,0,2021-22,Windham,Suburban
Seymour School District,1240011,946,945,18691,0.07,0.221,0.652,0.036,0,2021-22,New Haven,Suburban
Sharon School District,1250011,63,63,51470,0,0.062,0.876,0,0,2021-22,Litchfield,Suburban
Shelton School District,1260011,2123,2117,17911,0.082,0.23,0.593,0.051,0.043,2021-22,Fairfield,Suburban
Sherman School District,1270011,156,154,25082,0,0.083,0.826,0,0.06,2021-22,Fairfield,Suburban
Side By Side Charter School District,2700013,130,130,14735,0.254,0.576,0.102,0.025,0.042,2021-22,Fairfield,Suburban
Simsbury School District,1280011,1850,1848,20177,0.057,0.112,0.712,0.065,0,2021-22,Hartford,Urban
Somers School District,1290011,608,608,20674,0.024,0.055,0.888,0,0.02,2021-22,Tolland,Suburban
South Windsor School District,1320011,2343,2327,17234,0.06,0.105,0.578,0.308,0.048,2021-22,Hartford,Urban
Southington School District,1310011,2768,2762,17952,0.025,0.12,0.76,0.044,0.049,2021-22,Hartford,Urban
Sprague School District,1330011,173,172,19268,0.025,0.178,0.63,0,0.145,2021-22,New London,Suburban
Stafford School District,1340011,608,604,22633,0.008,0.087,0.859,0,0.036,2021-22,Tolland,Suburban
Stamford Charter School for Excellence District,2960013,297,297,10994,0.43,0.255,0.037,0.239,0.03,2021-22,Fairfield,Urban
Stamford School District,1350011,7117,7094,22321,0.134,0.502,0.264,0.063,0.034,2021-22,Fairfield,Suburban
Sterling School District,1360011,195,195,19662,0.025,0.093,0.796,0,0.08,2021-22,Windham,Suburban
Stonington School District,1370011,756,755,22693,0.008,0.075,0.833,0.018,0.062,2021-22,New London,Suburban
Stratford School District,1380011,2982,2947,20037,0.26,0.403,0.276,0.023,0.035,2021-22,Fairfield,Suburban
Suffield School District,1390011,867,865,19675,0.038,0.09,0.812,0.045,0.012,2021-22,Hartford,Suburban
The Bridge Academy District,2690013,96,96,16552,0.514,0.461,0,0,0,2021-22,Bridgeport ,Suburban
The Gilbert School District,9020022,136,135, ,0.024,0.202,0.68,0.049,0.044,2021-22,Litchfield,Suburban
Thomaston School District,1400011,383,381,19926,0.013,0.109,0.818,0.021,0.039,2021-22,Litchfield,Suburban
Thompson School District,1410011,421,416,22498,0.008,0.088,0.866,0.01,0.028,2021-22,Windham,Suburban
Tolland School District,1420011,947,945,18686,0.029,0.097,0.806,0.034,0.033,2021-22,Tolland,Suburban
