District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Torrington School District,1430011,1836,1827,21108,0.062,0.384,0.482,0.04,0.027,2021-22,Litchfield,Urban
Trumbull School District,1440011,3074,3071,18553,0.067,0.19,0.614,0.1,0.027,2021-22,Fairfield,Suburban
Union School District,1450011,37,37,24906,0,0,0,0,0,2021-22,Tolland,Suburban
Vernon School District,1460011,1335,1334,19042,0.104,0.221,0.513,0.077,0.084,2021-22,Tolland,Suburban
Voluntown School District,1470011,141,141,21624,0,0.048,0.904,0,0,2021-22,New London,Suburban
Wallingford School District,1480011,2265,2252,22692,0.019,0.206,0.687,0.049,0.037,2021-22,New Haven,Urban
Waterbury School District,1510011,8091,8055,18405,0.212,0.616,0.111,0.015,0.041,2021-22,New Haven,Urban
Waterford School District,1520011,1031,1027,22800,0.024,0.145,0.721,0.049,0.055,2021-22,New London,Suburban
Watertown School District,1530011,1181,1180,20249,0.036,0.108,0.798,0.015,0.039,2021-22,Litchfield,Suburban
West Hartford School District,1550011,3997,3982,20704,0.082,0.204,0.547,0.103,0.06,2021-22,Hartford,Urban
West Haven School District,1560011,2566,2551,17401,0.24,0.397,0.265,0.048,0.047,2021-22,New Haven,Suburban
Westbrook School District,1540011,236,236,31330,0,0.271,0.687,0.019,0,2021-22,Middlesex,Suburban
Weston School District,1570011,981,981,26281,0,0.087,0.763,0.062,0.073,2021-22,Fairfield,Suburban
Westport School District,1580011,2379,2375,25576,0,0.079,0.763,0.066,0.07,2021-22,Fairfield,Suburban
Wethersfield School District,1590011,1620,1616,18723,0.047,0.208,0.646,0.053,0.043,2021-22,Hartford,Suburban
Willington School District,1600011,259,259,24707,0.025,0.098,0.829,0,0.03,2021-22,Tolland,Suburban
Wilton School District,1610011,1634,1629,24229,0.009,0.066,0.749,0.112,0.063,2021-22,Fairfield,Suburban
Winchester School District,1620011,320,320,22293,0.026,0.144,0.779,0.015,0.033,2021-22,Litchfield,Urban
Windham School District,1630011,1518,1509,22599,0.032,0.727,0.21,0.007,0.02,2021-22,Windham,Suburban
Windsor Locks School District,1650011,666,665,23010,0.128,0.179,0.565,0.059,0.063,2021-22,Hartford,Urban
Windsor School District,1640011,1373,1357,21646,0.399,0.246,0.225,0.037,0.09,2021-22,Hartford,Urban
Wolcott School District,1660011,952,950,18138,0.038,0.153,0.749,0.025,0.032,2021-22,New Haven,Suburban
Woodbridge School District,1670011,469,471,19918,0,0.071,0.659,0.151,0.092,2021-22,New Haven,Suburban
Woodstock School District,1690011,509,509,18413,0.008,0.05,0.882,0,0.048,2021-22,Windham,Suburban
Goodwin University Educational Services (GUES),2310018,377,377,17580,0,0.132,0.793,0.012,0,2021-22,Hartford,Suburban
Achievement First Bridgeport Academy District,2850013,548,542,14219,0.513,0.446,0.019,0.009,0.045,2022-23,Fairfield,Suburban
Achievement First Hartford Academy District,2880013,516,514,15747,0.749,0.22,0,0,0.016,2022-23,Hartford,Urban
Amistad Academy District,2790013,543,538,14184,0.603,0.355,0.013,0,0.019,2022-23,New Haven,Urban
Andover School District,10011,82,82,22832,0,0.127,0.838,0,0,2022-23,Tolland,Suburban
Ansonia School District,20011,1070,1063,18865,0.208,0.464,0.253,0.021,0,2022-23,New Haven,Urban
Area Cooperative Educational Services,2440014,1127,1110,49216,0.334,0.328,0.255,0.022,0.056,2022-23,New Haven,Suburban
Ashford School District,30011,222,221,24046,0.022,0.087,0.829,0.022,0.041,2022-23,Windham,Suburban
Avon School District,40011,1452,1451,20828,0.055,0.078,0.631,0.189,0.044,2022-23,Hartford,Urban
Barkhamsted School District,50011,105,105,22595,0,0,0.895,0,0.057,2022-23,Litchfield,Suburban
Berlin School District,70011,1158,1152,21295,0.027,0.123,0.779,0.04,0.029,2022-23,Hartford,Urban
Bethany School District,80011,244,243,18782,0.023,0.086,0.788,0.084,0,2022-23,New Haven,Suburban
Bethel School District,90011,1436,1435,18533,0.044,0.248,0.58,0.074,0.037,2022-23,Fairfield,Suburban
Bloomfield School District,110011,764,762,22782,0.674,0.166,0.088,0.022,0.045,2022-23,Hartford,Suburban
Bolton School District,120011,314,310,20685,0.054,0.102,0.774,0.019,0.05,2022-23,Tolland,Suburban
Booker T. Washington Academy District,2950013,270,269,14570,0.818,0.153,0,0,0.018,2022-23,New Haven,Urban
Bozrah School District,130011,95,95,26390,0,0.153,0.753,0,0.076,2022-23,New London,Suburban
Branford School District,140011,1148,1147,23954,0.039,0.158,0.683,0.065,0.053,2022-23,New Haven,Suburban
Brass City Charter School District,2900013,213,212,16231,0.328,0.525,0.05,0.033,0.064,2022-23,New Haven,Urban
Bridgeport School District,150011,8511,8491,18565,0.291,0.574,0.089,0.02,0.019,2022-23,Fairfield,Suburban
Bristol School District,170011,3351,3331,19999,0.076,0.367,0.466,0.033,0.057,2022-23,Hartford,Urban
Brookfield School District,180011,1101,1094,20222,0.029,0.155,0.722,0.074,0.012,2022-23,Fairfield,Suburban
Brooklyn School District,190011,540,540,17977,0,0.114,0.791,0.021,0.053,2022-23,Windham,Suburban
Canaan School District,210011,46,46,35047,0,0,0.889,0,0,2022-23,Litchfield,Suburban
Canterbury School District,220011,285,285,18889,0,0.11,0.863,0,0.021,2022-23,Windham,Suburban
Canton School District,230011,681,679,20770,0.066,0.079,0.802,0,0.029,2022-23,Hartford,Urban
Capital Preparatory Harbor School District,2970013,373,373,14059,0.671,0.311,0,0,0,2022-23,Bridgeport ,Suburban
Capitol Region Education Council,2410014,3491,3453,27713,0.31,0.427,0.157,0.048,0.056,2022-23,Hartford,Urban
Chaplin School District,240011,71,71,26865,0,0.083,0.826,0,0.049,2022-23,Windham,Suburban
Cheshire School District,250011,1840,1836,19658,0,0.059,0.901,0,0,2022-23,New Haven,Urban
Chester School District,260011,124,124,24162,0,0.059,0.901,0,0,2022-23,Middlesex,Suburban
Clinton School District,270011,609,608,24251,0,0.222,0.715,0.033,0.019,2022-23,Middlesex,Suburban
Colchester School District,280011,912,912,19832,0.019,0.09,0.819,0.02,0.049,2022-23,New London,Suburban
Colebrook School District,290011,50,50,31759,0,0,0.931,0,0,2022-23,Litchfield,Suburban
Columbia School District,300011,299,297,19937,0,0.108,0.838,0,0.037,2022-23,Tolland,Suburban
Cooperative Educational Services,2430014,287,287,20125,0.224,0.4,0.275,0.045,0.05,2022-23,Fairfield,Suburban
Cornwall School District,310011,56,56,33824,0,0.074,0.83,0.064,0,2022-23,Litchfield,Suburban
Coventry School District,320011,712,712,18031,0.008,0.079,0.861,0.011,0.037,2022-23,Tolland,Suburban
Cromwell School District,330011,913,905,19213,0.066,0.133,0.686,0.058,0.053,2022-23,Middlesex,Suburban
Danbury School District,340011,5418,5407,16742,0.066,0.623,0.225,0.049,0.034,2022-23,Fairfield,Suburban
Darien School District,350011,2113,2110,24553,0.007,0.071,0.813,0.062,0.046,2022-23,Fairfield,Suburban
Deep River School District,360011,112,112,28602,0,0.115,0.839,0,0,2022-23,Middlesex,Suburban
Derby School District,370011,575,574,23291,0.201,0.411,0.304,0,0.063,2022-23,New Haven,Suburban
East Granby School District,400011,390,389,22261,0.078,0.066,0.742,0.071,0.042,2022-23,Hartford,Suburban
East Haddam School District,410011,447,445,24290,0,0.088,0.863,0.015,0.027,2022-23,Middlesex,Suburban
East Hampton School District,420011,801,796,20778,0.011,0.072,0.868,0.012,0.035,2022-23,Middlesex,Suburban
East Hartford School District,430011,2557,2538,16935,0.299,0.517,0.104,0.04,0.035,2022-23,Hartford,Urban
East Haven School District,440011,1191,1186,18284,0.059,0.403,0.47,0,0.034,2022-23,New Haven,Urban
East Lyme School District,450011,1035,1030,21125,0.016,0.094,0.731,0.095,0.06,2022-23,New London,
East Windsor School District,470011,471,468,25467,0.136,0.239,0.493,0.061,0.069,2022-23,Hartford,Suburban
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,,,48531,0,0.178,0.7,0,0.082,2022-23,Tolland,Suburban
Eastford School District,390011,82,81,22321,0,0,0.831,0,0.084,2022-23,Windham,Suburban
Easton School District,460011,580,579,20595,0,0.082,0.769,0.078,0.041,2022-23,Fairfield,Suburban
EdAdvance,2420014,31,31,53258,0.069,0.361,0.487,0,0.054,2022-23,Litchfield,Suburban
Ellington School District,480011,1174,1169,17833,0.041,0.077,0.729,0.117,0,2022-23,Tolland,Suburban
Elm City College Preparatory School District,2890013,365,364,15732,0.635,0.319,0.023,0,0.02,2022-23,New Haven,Urban
Elm City Montessori School District,2910013,113,113,17658,0.235,0.299,0.356,0.027,0.084,2022-23,New Haven,Urban
Enfield School District,490011,2042,2032,18637,0.068,0.216,0.628,0.026,0.06,2022-23,Hartford,Urban
Essex School District,500011,147,147,27650,0,0.083,0.867,0,0.043,2022-23,Middlesex,Urban
Fairfield School District,510011,4122,4122,23083,0.029,0.132,0.726,0.061,0.052,2022-23,Fairfield,Suburban
Farmington School District,520011,1883,1876,20158,0.048,0.113,0.532,0.246,0.06,2022-23,Hartford,Urban
Franklin School District,530011,106,106,20287,0,0.102,0.791,0,0.064,2022-23,New London,Suburban
Glastonbury School District,540011,2511,2509,20782,0.034,0.117,0.648,0.138,0.062,2022-23,Hartford,Urban
Granby School District,560011,782,777,20372,0.06,0.058,0.826,0,0.028,2022-23,Hartford,Suburban
Great Oaks Charter School District,2940013,270,274,17634,0.434,0.512,0.033,0,0.045,2022-23,Bridgeport ,Suburban
Greenwich School District,570011,3755,3748,27093,0.021,0.229,0.601,0.085,0.062,2022-23,Fairfield,Suburban
Griswold School District,580011,710,710,17798,0.028,0.136,0.74,0.016,0.073,2022-23,New London,Suburban
Groton School District,590011,1780,1767,19706,0.076,0.242,0.485,0.058,0.127,2022-23,New London,Urban
Guilford School District,600011,1395,1394,21532,0,0.093,0.791,0.047,0.057,2022-23,New Haven,Suburban
Hamden School District,620011,2339,2336,23255,0.321,0.263,0.284,0.07,0.061,2022-23,New Haven,Urban
